DATAFLOW,LAST UPDATE,freq,unit,product,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-10,20741,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-11,20480,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-12,22669,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-01,23915,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-02,22564,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-03,22420,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-04,20490,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-05,21295,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-06,21965,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-07,25595,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-08,23077,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-09,21443,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-10,21079,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-11,21166,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2015-12,21563,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-01,22668,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-02,21729,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-03,23109,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-04,21736,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-05,20626,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-06,20615,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-07,22938,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-08,22089,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-09,21227,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-10,21824,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-11,21771,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2016-12,21906,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-01,25249.014,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-02,20998.094,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-03,21153.274,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-04,19292.508,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-05,20409.321,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-06,22086.886,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-07,22809.943,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-08,21696.569,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-09,20321.973,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-10,21485.339,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-11,22739.930,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2017-12,24326.468,
