DATAFLOW,LAST UPDATE,freq,unit,product,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-02,19217.932,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-03,19807.963,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-04,18691.533,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-05,19130.605,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-06,19598.891,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-07,21887.761,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-08,20518.429,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-09,19242.322,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-10,19395.648,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-11,19881.660,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2019-12,19971.806,
